time,ueid,TDDLTE_L1_measurement_Serving_Cell_Measurement_RSRP,TDDLTE_L1_measurement_Serving_Cell_Measurement_SINR
39818218,1,-73,11
39818343,1,-73,11
39818578,1,-73,11
39818750,1,-73,11
39818984,1,-73,11
39819218,1,-73,11
39819343,1,-73,11
39819578,1,-73,11
39819750,1,-73,11
39819984,1,-72,11
39820218,1,-73,12
39820468,1,-73,11
39820578,1,-73,11
39820750,1,-73,10
39820984,1,-73,11
39821218,1,-73,11
39821468,1,-73,12
39821578,1,-73,12
39821750,1,-74,11
39821984,1,-74,12
39822140,1,-73,11
39822343,1,-73,11
39822578,1,-73,11
39822750,1,-73,11
39822984,1,-74,11
39823218,1,-74,9
39823468,1,-74,10
39823578,1,-74,10
39823750,1,-74,10
39823984,1,-74,10
39824218,1,-74,11
39824468,1,-74,10
39824578,1,-74,10
39824750,1,-74,10
39825140,1,-74,10
39825421,1,-74,10
39825578,1,-74,10
39825750,1,-74,10
39825984,1,-74,10
39826218,1,-74,10
39826343,1,-74,12
39826578,1,-74,11
39826750,1,-74,11
39826984,1,-73,11
39827218,1,-73,11
39827468,1,-73,12
39827546,1,-73,11
39827750,1,-73,11
39827984,1,-73,11
39828218,1,-74,11
39828343,1,-74,11
39828578,1,-73,11
39828750,1,-74,10
39828984,1,-74,11
39829218,1,-74,11
39829468,1,-74,11
39829578,1,-74,10
39829859,1,-74,10
39829984,1,-74,10
39830218,1,-74,10
39830468,1,-74,11
39830578,1,-74,11
39830750,1,-74,11
39830984,1,-74,11
39831140,1,-74,11
39831468,1,-74,10
39831578,1,-74,10
39831750,1,-74,10
39832015,1,-74,10
39832140,1,-74,10
39832468,1,-74,10
39832578,1,-74,9
39832750,1,-74,9
39832984,1,-74,10
39833218,1,-74,10
39833468,1,-74,12
39833578,1,-74,11
39833750,1,-74,12
