Time,PCTime,UEid,Serving Cell RSRP(dBm)
16:10:25.402,58225402,1,-88
16:10:25.682,58225682,1,-89
16:10:25.844,58225844,1,-89
16:10:26.003,58226003,1,-89
16:10:26.206,58226206,1,-89
16:10:26.443,58226443,1,-90
16:10:26.604,58226604,1,-91
16:10:26.804,58226804,1,-89
16:10:27.003,58227003,1,-90
16:10:27.224,58227224,1,-88
16:10:27.403,58227403,1,-91
16:10:27.604,58227604,1,-89
16:10:27.843,58227843,1,-90
16:10:28.004,58228004,1,-90
16:10:28.203,58228203,1,-88
16:10:28.443,58228443,1,-89
16:10:28.683,58228683,1,-88
16:10:28.803,58228803,1,-90
16:10:29.003,58229003,1,-91
16:10:29.224,58229224,1,-90
16:10:29.444,58229444,1,-90
16:10:29.643,58229643,1,-92
16:10:29.804,58229804,1,-88
16:10:30.004,58230004,1,-90
16:10:30.224,58230224,1,-92
16:10:30.403,58230403,1,-91
16:10:30.643,58230643,1,-92
16:10:30.804,58230804,1,-91
16:10:31.003,58231003,1,-92
16:10:31.224,58231224,1,-91
16:10:31.443,58231443,1,-93
16:10:31.604,58231604,1,-92
16:10:31.843,58231843,1,-91
16:10:32.004,58232004,1,-90
16:10:32.199,58232199,1,-93
16:10:32.403,58232403,1,-90
16:10:32.603,58232603,1,-91
16:10:32.805,58232805,1,-90
16:10:33.043,58233043,1,-90
16:10:33.205,58233205,1,-86
16:10:33.389,58233389,1,-90
16:10:33.603,58233603,1,-92
16:10:33.844,58233844,1,-91
16:10:34.043,58234043,1,-92
16:10:34.203,58234203,1,-94
16:10:34.403,58234403,1,-94
16:10:34.603,58234603,1,-92
16:10:34.843,58234843,1,-92
16:10:35.004,58235004,1,-91
16:10:35.203,58235203,1,-93
16:10:35.444,58235444,1,-94
16:10:35.643,58235643,1,-95
16:10:35.843,58235843,1,-94
16:10:36.043,58236043,1,-92
16:10:36.203,58236203,1,-93
16:10:36.419,58236419,1,-95
16:10:36.603,58236603,1,-95
16:10:36.803,58236803,1,-95
16:10:37.004,58237004,1,-93
16:10:37.219,58237219,1,-96
16:10:37.403,58237403,1,-94
16:10:37.603,58237603,1,-92
16:10:37.843,58237843,1,-94
16:10:38.043,58238043,1,-95
16:10:38.203,58238203,1,-94
16:10:38.403,58238403,1,-92
16:10:38.643,58238643,1,-94
16:10:38.804,58238804,1,-94
16:10:39.003,58239003,1,-92
16:10:39.204,58239204,1,-92
16:10:39.403,58239403,1,-92
16:10:39.605,58239605,1,-93
16:10:39.845,58239845,1,-91
16:10:40.003,58240003,1,-95
16:10:40.224,58240224,1,-94
16:10:40.443,58240443,1,-92
16:10:40.643,58240643,1,-91
16:10:40.843,58240843,1,-93
16:10:41.004,58241004,1,-92
16:10:41.204,58241204,1,-93
16:10:41.403,58241403,1,-92
16:10:41.603,58241603,1,-92
16:10:41.826,58241826,1,-95
16:10:42.003,58242003,1,-94
16:10:42.204,58242204,1,-94
16:10:42.443,58242443,1,-95
16:10:42.723,58242723,1,-94
16:10:42.883,58242883,1,-94
16:10:43.004,58243004,1,-93
16:10:43.205,58243205,1,-92
16:10:43.404,58243404,1,-91
16:10:43.604,58243604,1,-92
16:10:43.805,58243805,1,-91
16:10:44.004,58244004,1,-91
16:10:44.205,58244205,1,-90
16:10:44.404,58244404,1,-91
16:10:44.644,58244644,1,-94
16:10:44.804,58244804,1,-93
16:10:45.004,58245004,1,-90
16:10:45.225,58245225,1,-91
16:10:45.404,58245404,1,-93
16:10:45.604,58245604,1,-93
16:10:45.805,58245805,1,-93
16:10:46.004,58246004,1,-94
16:10:46.204,58246204,1,-94
16:10:46.404,58246404,1,-92
16:10:46.620,58246620,1,-93
16:10:46.804,58246804,1,-95
16:10:47.005,58247005,1,-94
16:10:47.225,58247225,1,-93
16:10:47.404,58247404,1,-94
16:10:47.645,58247645,1,-96
16:10:47.844,58247844,1,-93
16:10:48.085,58248085,1,-91
16:10:48.225,58248225,1,-91
16:10:48.484,58248484,1,-93
16:10:48.644,58248644,1,-94
16:10:48.844,58248844,1,-93
16:10:49.044,58249044,1,-92
16:10:49.204,58249204,1,-93
16:10:49.445,58249445,1,-93
16:10:49.604,58249604,1,-91
16:10:49.845,58249845,1,-95
16:10:50.045,58250045,1,-94
16:10:50.204,58250204,1,-92
16:10:50.404,58250404,1,-92
16:10:50.684,58250684,1,-94
16:10:50.844,58250844,1,-93
16:10:51.084,58251084,1,-93
16:10:51.225,58251225,1,-93
16:10:51.404,58251404,1,-93
16:10:51.644,58251644,1,-93
16:10:51.844,58251844,1,-94
16:10:52.004,58252004,1,-94
16:10:52.225,58252225,1,-95
16:10:52.444,58252444,1,-92
16:10:52.644,58252644,1,-94
16:10:52.805,58252805,1,-93
16:10:53.004,58253004,1,-93
16:10:53.205,58253205,1,-96
16:10:53.404,58253404,1,-94
16:10:53.604,58253604,1,-93
16:10:53.844,58253844,1,-94
16:10:54.044,58254044,1,-91
16:10:54.225,58254225,1,-95
16:10:54.404,58254404,1,-95
16:10:54.604,58254604,1,-93
16:10:54.804,58254804,1,-92
16:10:55.004,58255004,1,-94
16:10:55.225,58255225,1,-94
16:10:55.444,58255444,1,-95
16:10:55.724,58255724,1,-92
16:10:55.804,58255804,1,-92
16:10:56.004,58256004,1,-95
16:10:56.204,58256204,1,-94
16:10:56.404,58256404,1,-91
16:10:56.605,58256605,1,-92
16:10:56.844,58256844,1,-94
16:10:57.044,58257044,1,-95
16:10:57.204,58257204,1,-92
16:10:57.444,58257444,1,-95
16:10:57.604,58257604,1,-92
16:10:57.804,58257804,1,-94
16:10:58.004,58258004,1,-96
16:10:58.225,58258225,1,-95
16:10:58.404,58258404,1,-94
16:10:58.604,58258604,1,-95
16:10:58.843,58258843,1,-92
16:10:59.004,58259004,1,-93
16:10:59.203,58259203,1,-94
16:10:59.444,58259444,1,-93
16:10:59.724,58259724,1,-91
16:10:59.844,58259844,1,-93
16:11:0.004,58260004,1,-95
16:11:0.225,58260225,1,-94
16:11:0.404,58260404,1,-94
16:11:0.606,58260606,1,-92
16:11:0.844,58260844,1,-96
16:11:1.005,58261005,1,-96
16:11:1.226,58261226,1,-96
16:11:1.404,58261404,1,-94
16:11:1.644,58261644,1,-93
16:11:1.805,58261805,1,-92
16:11:2.005,58262005,1,-91
16:11:2.204,58262204,1,-93
16:11:2.405,58262405,1,-92
16:11:2.605,58262605,1,-91
16:11:2.805,58262805,1,-92
16:11:3.005,58263005,1,-90
16:11:3.226,58263226,1,-90
16:11:3.405,58263405,1,-91
16:11:3.605,58263605,1,-89
16:11:3.805,58263805,1,-86
16:11:4.004,58264004,1,-86
16:11:4.205,58264205,1,-88
16:11:4.405,58264405,1,-85
16:11:4.605,58264605,1,-83
16:11:4.805,58264805,1,-86
16:11:5.005,58265005,1,-86
16:11:5.205,58265205,1,-86
16:11:5.381,58265381,1,-84
16:11:5.605,58265605,1,-84
16:11:5.845,58265845,1,-84
16:11:6.005,58266005,1,-83
16:11:6.205,58266205,1,-84
16:11:6.405,58266405,1,-84
16:11:6.645,58266645,1,-85
16:11:6.805,58266805,1,-85
16:11:7.005,58267005,1,-84
16:11:7.207,58267207,1,-84
16:11:7.445,58267445,1,-84
16:11:7.641,58267641,1,-84
16:11:7.845,58267845,1,-84
16:11:8.005,58268005,1,-84
16:11:8.205,58268205,1,-84
16:11:8.405,58268405,1,-83
16:11:8.604,58268604,1,-82
16:11:8.845,58268845,1,-82
16:11:9.005,58269005,1,-82
16:11:9.205,58269205,1,-84
16:11:9.444,58269444,1,-83
16:11:9.605,58269605,1,-84
16:11:9.804,58269804,1,-84
16:11:10.004,58270004,1,-88
16:11:10.226,58270226,1,-88
16:11:10.445,58270445,1,-85
16:11:10.644,58270644,1,-88
16:11:10.844,58270844,1,-87
16:11:11.044,58271044,1,-86
16:11:11.204,58271204,1,-87
16:11:11.444,58271444,1,-87
16:11:11.605,58271605,1,-89
16:11:11.805,58271805,1,-88
16:11:12.004,58272004,1,-85
16:11:12.205,58272205,1,-88
16:11:12.405,58272405,1,-90
16:11:12.604,58272604,1,-86
16:11:12.777,58272777,1,-86
16:11:13.005,58273005,1,-85
16:11:13.226,58273226,1,-88
16:11:13.444,58273444,1,-89
16:11:13.604,58273604,1,-88
16:11:13.804,58273804,1,-90
16:11:14.044,58274044,1,-84
16:11:14.226,58274226,1,-87
16:11:14.445,58274445,1,-86
16:11:14.645,58274645,1,-88
16:11:14.844,58274844,1,-87
16:11:15.004,58275004,1,-87
16:11:15.226,58275226,1,-88
16:11:15.404,58275404,1,-87
16:11:15.604,58275604,1,-85
16:11:15.804,58275804,1,-86
16:11:16.044,58276044,1,-86
16:11:16.226,58276226,1,-81
16:11:16.412,58276412,1,-82
16:11:16.644,58276644,1,-85
16:11:16.804,58276804,1,-84
16:11:17.005,58277005,1,-82
16:11:17.204,58277204,1,-89
16:11:17.404,58277404,1,-90
16:11:17.604,58277604,1,-90
